Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
java_websocket,org.java_websocket.server,SSLParametersWebSocketServerFactory,0.0,0.0,1.0,1.0,-0.0,0.0
java_websocket,org.java_websocket.server,DefaultWebSocketServerFactory,6.0,0.0,4.0,4.0,0.0,1.0
java_websocket,org.java_websocket.server,DefaultSSLWebSocketServerFactory,12.0,9.0,4.0,4.0,0.7,0.6666666666666666
java_websocket,org.java_websocket.server,CustomSSLWebSocketServerFactory,0.0,0.0,1.0,1.0,-0.0,0.0
java_websocket,org.java_websocket.server,WebSocketServer,2384.0,2212.0,33.0,9.0,0.9469759734879867,0.09722222222222222
java_websocket,org.java_websocket.server,WebSocketWorker,7.0,4.0,3.0,2.0,0.5,0.4
java_websocket,org.java_websocket,SSLSocketChannel2,244.0,110.0,4.0,1.0,0.8677248677248678,0.0
java_websocket,org.java_websocket,WrappedByteChannel,10.0,0.0,5.0,5.0,0.0,-1.0
java_websocket,org.java_websocket,WebSocket,325.0,0.0,26.0,26.0,0.0,-1.0
java_websocket,org.java_websocket,AbstractWrappedByteChannel,0.0,0.0,1.0,1.0,-0.0,0.0
java_websocket,org.java_websocket,WebSocketImpl,1319.0,1098.0,18.0,6.0,0.9422924901185771,0.10714285714285714
java_websocket,org.java_websocket,WebSocketAdapter,15.0,15.0,6.0,6.0,1.0,1.0
java_websocket,org.java_websocket,WebSocketFactory,1.0,0.0,2.0,2.0,0.0,-1.0
java_websocket,org.java_websocket,WebSocketServerFactory,6.0,0.0,4.0,4.0,0.0,-1.0
java_websocket,org.java_websocket,AbstractWebSocket,110.0,84.0,5.0,4.0,0.8802083333333334,0.23529411764705882
java_websocket,org.java_websocket,SSLSocketChannel,94.0,35.0,6.0,3.0,0.8161764705882353,0.16666666666666666
java_websocket,org.java_websocket,SocketChannelIOHelper,6.0,0.0,4.0,4.0,0.0,1.0
java_websocket,org.java_websocket,WebSocketListener,120.0,0.0,16.0,16.0,0.0,-1.0
java_websocket,org.java_websocket.util,ByteBufferUtils,3.0,0.0,3.0,3.0,0.0,1.0
java_websocket,org.java_websocket.util,Charsetfunctions,36.0,0.0,9.0,7.0,1.0,0.7777777777777778
java_websocket,org.java_websocket.util,Base64,55.0,5.0,4.0,3.0,0.9126984126984128,0.13333333333333333
java_websocket,org.java_websocket.util,OutputStream,7.0,0.0,2.0,2.0,0.6599999999999999,0.3333333333333333
java_websocket,org.java_websocket.util,NamedThreadFactory,0.0,0.0,1.0,1.0,0.5,0.0
java_websocket,org.java_websocket.drafts,Draft_6455,1316.0,1147.0,22.0,9.0,0.9444444444444444,0.16363636363636364
java_websocket,org.java_websocket.drafts,TranslatedPayloadMetaData,1.0,0.0,1.0,1.0,0.5,0.0
java_websocket,org.java_websocket.drafts,Draft,400.0,394.0,26.0,21.0,0.9464285714285714,0.7241379310344828
java_websocket,org.java_websocket.handshake,HandshakedataImpl1,10.0,0.0,2.0,2.0,0.5833333333333334,0.2857142857142857
java_websocket,org.java_websocket.handshake,ClientHandshake,0.0,0.0,1.0,1.0,0.0,-1.0
java_websocket,org.java_websocket.handshake,HandshakeImpl1Client,0.0,0.0,1.0,1.0,-0.0,0.0
java_websocket,org.java_websocket.handshake,ClientHandshakeBuilder,0.0,0.0,1.0,1.0,0.0,-1.0
java_websocket,org.java_websocket.handshake,ServerHandshakeBuilder,1.0,0.0,2.0,2.0,0.0,-1.0
java_websocket,org.java_websocket.handshake,ServerHandshake,1.0,0.0,2.0,2.0,0.0,-1.0
java_websocket,org.java_websocket.handshake,HandshakeBuilder,1.0,0.0,2.0,2.0,0.0,-1.0
java_websocket,org.java_websocket.handshake,Handshakedata,6.0,0.0,4.0,4.0,0.0,-1.0
java_websocket,org.java_websocket.handshake,HandshakeImpl1Server,4.0,2.0,2.0,2.0,0.6666666666666666,0.5
java_websocket,org.java_websocket.exceptions,InvalidEncodingException,0.0,0.0,1.0,1.0,-0.0,0.0
java_websocket,org.java_websocket.exceptions,InvalidDataException,0.0,0.0,1.0,1.0,0.625,0.0
java_websocket,org.java_websocket.exceptions,InvalidFrameException,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
java_websocket,org.java_websocket.exceptions,WebsocketNotConnectedException,0.0,0.0,0.0,0.0,0.0,-1.0
java_websocket,org.java_websocket.exceptions,LimitExceededException,7.0,4.0,3.0,3.0,0.875,0.6
java_websocket,org.java_websocket.exceptions,WrappedIOException,1.0,0.0,1.0,1.0,0.5,0.0
java_websocket,org.java_websocket.exceptions,NotSendableException,3.0,0.0,3.0,3.0,1.5,1.0
java_websocket,org.java_websocket.exceptions,IncompleteHandshakeException,0.0,0.0,1.0,1.0,0.75,0.0
java_websocket,org.java_websocket.exceptions,InvalidHandshakeException,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
java_websocket,org.java_websocket.exceptions,IncompleteException,0.0,0.0,1.0,1.0,1.0,0.0
java_websocket,org.java_websocket.framing,Framedata,28.0,0.0,8.0,8.0,0.0,-1.0
java_websocket,org.java_websocket.framing,PongFrame,1.0,0.0,2.0,2.0,0.0,1.0
java_websocket,org.java_websocket.framing,CloseFrame,21.0,0.0,2.0,1.0,0.9500000000000001,0.0
java_websocket,org.java_websocket.framing,FramedataImpl1,129.0,68.0,3.0,3.0,0.7744360902255639,0.15
java_websocket,org.java_websocket.framing,ControlFrame,1.0,0.0,2.0,2.0,0.0,1.0
java_websocket,org.java_websocket.framing,ContinuousFrame,0.0,0.0,1.0,1.0,0.0,0.0
java_websocket,org.java_websocket.framing,DataFrame,1.0,0.0,2.0,2.0,0.0,1.0
java_websocket,org.java_websocket.framing,TextFrame,1.0,0.0,2.0,2.0,0.0,1.0
java_websocket,org.java_websocket.framing,PingFrame,0.0,0.0,1.0,1.0,0.0,0.0
java_websocket,org.java_websocket.framing,BinaryFrame,0.0,0.0,1.0,1.0,0.0,0.0
java_websocket,org.java_websocket.client,WebSocketClient,2400.0,1797.0,22.0,10.0,0.9376623376623378,0.1282051282051282
java_websocket,org.java_websocket.client,WebsocketWriteThread,5.0,4.0,3.0,1.0,0.6666666666666666,0.0
java_websocket,org.java_websocket.client,DnsResolver,0.0,0.0,1.0,1.0,0.0,-1.0
java_websocket,org.java_websocket.interfaces,ISSLChannel,0.0,0.0,1.0,1.0,0.0,-1.0
java_websocket,org.java_websocket.extensions,DefaultExtension,66.0,0.0,12.0,12.0,0.0,1.0
java_websocket,org.java_websocket.extensions,CompressionExtension,0.0,0.0,1.0,1.0,0.0,0.0
java_websocket,org.java_websocket.extensions,ExtensionRequestData,2.0,0.0,1.0,1.0,0.6666666666666666,0.0
java_websocket,org.java_websocket.extensions,IExtension,45.0,0.0,10.0,10.0,0.0,-1.0
java_websocket,org.java_websocket.extensions.permessage_deflate,PerMessageDeflateExtension,168.0,146.0,7.0,5.0,0.944078947368421,0.2
java_websocket,org.java_websocket.protocols,Protocol,11.0,1.0,3.0,1.0,0.7777777777777777,0.0
java_websocket,org.java_websocket.protocols,IProtocol,6.0,0.0,4.0,4.0,0.0,-1.0
